pool,ticker,liveStakeADA,declaredPledgeADA,margin
https://w3id.org/cgov#pool_pool1k3nkfa5ugavrpd9nwd3s6yyx454qxnquxwmux4rzfunl7q0z38t,,95399628,100,0.05
https://w3id.org/cgov#pool_pool18rjrygm3knlt67n3r3prlhnzcjxun7wa8d3l8w9nmlpasquv4au,,76315167,76000000,1.0
https://w3id.org/cgov#pool_pool1n6erydn8x79sa3fmrqmj7mcyqa9em5fppr447j6d9k0xwfl7sc5,,76301500,76000000,1.0
https://w3id.org/cgov#pool_pool1xmlq3sgssww6kwu8dupgxukzhlk77j40p9c4r3qux3j5z2ysk2c,,76301500,76000000,1.0
https://w3id.org/cgov#pool_pool1l0erdjregched3dj828q93rfa2f4w4p62nr248xshj5huq6zuvp,,76301500,76000000,1.0
https://w3id.org/cgov#pool_pool1uy07qyf0gzzua2glqspyvyevwpe8tamajnqj6c7mjzy4v3m4kne,,76300000,75500000,1.0
https://w3id.org/cgov#pool_pool1luhm55xxqp0cv7a43rcfrr8m6m74kfe7wdvqdgfzt483x29lr0t,,75500026,73000000,1.0
https://w3id.org/cgov#pool_pool1rkm8rplkafvllxjuddrkqc3u3lgd9uf327tvmvfdyygsv7lkhm8,,75500010,75500000,1.0
https://w3id.org/cgov#pool_pool1r2fph82mjhgu955cesn4yejjva4sk7uuh06yhwf8e9ln5djy5h7,,75500002,14750000,1.0
https://w3id.org/cgov#pool_pool1l92vxagssugcsu4wyhvnjd0t6dlqjjfrxkt8v4qaucgmq8t3j3s,,69466693,0,0.1
